Variant,ID,OOD,FGSM,Layer,Threshold,Mini,N-extract,N-train,Random seed,AUROC,AUROC-avg-std,FPR95,FPR95-avg-std,Logfile
MS_DETR,BDD,COCO,8,ms_detr_tra_dec,0.1,,2,3,2000,48.89,50.14±1.07,82.04,81.02±0.91,eval_BDD-MS_DETR-fgsm-8-2000_ms_detr_tra_dec_extract_2_train_3_th_0_dot_1.txt
MS_DETR,BDD,COCO,8,ms_detr_tra_dec,0.4,,2,1,0,57.0,,97.16,,eval_trainth04_testth01_BDD-MS_DETR-fgsm-8-0_ms_detr_tra_dec_extract_2_train_1.txt
MS_DETR,BDD,COCO,8,ms_detr_tra_dec,0.4,,2,2,1000,58.32,,95.98,,eval_trainth04_testth01_BDD-MS_DETR-fgsm-8-1000_ms_detr_tra_dec_extract_2_train_2.txt
MS_DETR,BDD,COCO,8,ms_detr_tra_dec,0.4,,2,3,2000,54.93,56.75±1.40,97.02,96.72±0.53,eval_trainth04_testth01_BDD-MS_DETR-fgsm-8-2000_ms_detr_tra_dec_extract_2_train_3.txt
MS_DETR,BDD,COCO,8,ms_detr_tra_enc,0.1,,2,1,0,79.66,,47.15,,eval_BDD-MS_DETR-fgsm-8-0_ms_detr_tra_enc_extract_2_train_1_th_0_dot_1.txt
MS_DETR,BDD,COCO,8,ms_detr_tra_enc,0.1,,2,2,1000,79.57,,47.79,,eval_BDD-MS_DETR-fgsm-8-1000_ms_detr_tra_enc_extract_2_train_2_th_0_dot_1.txt
MS_DETR,BDD,COCO,8,ms_detr_tra_enc,0.1,,2,3,2000,78.16,79.13±0.69,50.14,48.36±1.29,eval_BDD-MS_DETR-fgsm-8-2000_ms_detr_tra_enc_extract_2_train_3_th_0_dot_1.txt
MS_DETR,BDD,COCO,8,ms_detr_tra_enc,0.4,,2,1,0,78.57,,50.02,,eval_trainth04_testth01_BDD-MS_DETR-fgsm-8-0_ms_detr_tra_enc_extract_2_train_1.txt
MS_DETR,BDD,COCO,8,ms_detr_tra_enc,0.4,,2,2,1000,82.0,,44.73,,eval_trainth04_testth01_BDD-MS_DETR-fgsm-8-1000_ms_detr_tra_enc_extract_2_train_2.txt
MS_DETR,BDD,COCO,8,ms_detr_tra_enc,0.4,,2,3,2000,81.3,80.62±1.48,46.0,46.92±2.25,eval_trainth04_testth01_BDD-MS_DETR-fgsm-8-2000_ms_detr_tra_enc_extract_2_train_3.txt
DETR,BDD,OpenImages,8,,0.4,,2,1,0,94.04,,22.36,,eval_BDD-DETR-fgsm-8-0_extract_2_train_1.txt
